stat_id,height,lat,lon,date_start,date_end,locale
659,81,52.2667,10.5167,19940501,19970630,Braunschweig (Zentrum)
660,83,52.2744,10.5656,19480101,20021231,Braunschweig-Gliesmarode
663,300,50.8832,13.0192,19741106,20070531,Braunsdorf
664,23,54.6333,9.7333,19310101,20061231,Brebel
665,193,50.3669,8.1683,19890707,20041231,Brechen-Niederbrechen
666,279,51.2437,7.4089,19410101,19970630,Breckerfeld (Ennepetalsperre)
667,410,51.2998,7.4625,19361101,19990331,Breckerfeld-Zurstraße
669,43,52.8829,12.1753,19640301,20020802,Breddin
670,55,53.1363,13.2394,19920701,20031231,Bredereiche
671,21,54.6152,8.9886,19310101,20061231,Breklum-Riddorf
673,94,51.5559,12.1991,19670407,20061231,Brehna
674,195,48.0283,7.5906,19500801,19520430,Breisach
678,501,49.1026,11.5683,19780501,20010228,Breitenbrunn/Oberpfalz -Gimpertshausen
679,35,53.6,10.6333,19510101,19870930,Breitenfelde
680,122,52.8338,10.4879,19380201,20040630,Breitenhees
681,180,49.6958,7.6314,19921201,20041231,Breitenheim
682,466,51.6195,10.9495,19951106,20021231,Breitenstein
683,536,48.5168,9.9905,19891101,20031231,Breitingen
685,585,49.9017,9.4281,19720810,20061031,Breitsol
686,245,50.7605,10.3238,19830701,20061231,Breitungen/Werra
687,250,50.7667,10.3333,19791227,19911231,Breitungen/Werra 1
688,35,54.4333,9.6333,19510101,20061231,Brekendorf
689,3,53.1167,8.8,19510101,19981231,Bremen (Bayernstraße )
692,1,53.1402,8.739,19921216,19991231,Bremen (Ritterhuder Heerstraße)
693,3,53.0716,8.774,19480601,20010402,Bremen (Warturmer Heerstraße)
694,8,53.1833,8.5833,18910901,19921231,Bremen-Blumenthal
695,4,53.2068,8.5093,19840402,20061231,Bremen-Farge
697,2,53.1333,8.7167,19710101,19961231,Bremen-Mittelsbüren
698,5,53.0602,8.9533,19960114,19980630,Bremen-Osterholz
700,2,53.0833,8.7,19510101,19891231,Bremen-Strom
703,10,53.489,9.139,18870101,19360331,Bremervörde (A)
705,5,53.5312,9.1664,19850501,20061231,Bremervörde-Niederochtenhausen
706,212,47.9024,7.6256,19691001,19920930,Eschbach
707,100,52.1386,14.485,19910401,20051231,Bremsdorf
709,30,52.8371,11.6268,19380101,19650318,Bretsch
711,204,49.0207,8.6484,19570401,19961231,Bretten-Dürrenbüchig
712,214,49.0065,8.7237,19880801,20031231,Bretten-Ruit
713,180,49.8336,9.0387,19820801,20041231,Breuberg-Hainstadt
715,59,51.8167,14.25,19651101,19911231,"Briesen, Kreis Cottbus"
716,35,52.2469,14.5678,19790401,20051231,Brieskow-Finkenheerd
717,455,51.3959,8.5665,19360521,19520609,Brilon
718,435,51.35,8.65,19700416,20040831,Brilon-Bontkirchen
719,310,51.4587,8.6251,19960101,20061031,Brilon-Niederalme
720,438,51.4259,8.5337,19871216,19980619,Brilon-Scharfenberg
725,33,52.5511,9.2089,19711209,20061231,Brokeloh
726,10,53.9965,9.8194,19461001,20001231,Brokstedt
727,290,49.7345,8.9557,19571001,20040630,Brombachtal-Kirch-Brombach
729,580,50.8333,10.45,19030101,19900531,Brotterode
733,370,49.2518,12.311,19700114,20100131,Bruck
736,410,49.6442,7.1723,19210806,19630930,Brücken
737,139,51.4454,11.2003,19760501,20011231,Brücken/Helme
738,314,50.31,9.79,18990101,19710430,"Brückenau, Bad (A)"
740,497,50.3224,9.7627,19940601,20001031,"Brückenau, Bad-Volkers"
742,40,51.2445,6.1577,19881230,20061231,Brüggen
744,61,50.8274,6.9135,19401125,19920630,Brühl
745,1345,47.6447,12.0982,19281016,20120630,Brünnsteinhaus
746,57,51.8943,11.7141,19490401,19570131,Brumby
749,198,52.1833,10.85,19410101,19950131,Brunsleberfeld
750,40,53.617,10.7486,19871001,20061231,Brunsmark
751,97,50.1332,7.2342,19971127,19990731,Bruttig-Fankel
754,585,48.0575,9.6167,19670629,20031231,"Buchau, Bad"
758,895,47.7,10.25,19310101,19671231,Buchenberg
